500,100000
79,197,2260
160,371,29563
395,288,21413
270,79,13882
89,124,9263
494,64,12685
363,30,8007
126,410,242
486,169,13579
225,131,12529
71,121,20007
431,380,12813
193,37,14193
72,468,25458
412,224,26562
406,208,26020
470,103,10784
167,313,17571
327,379,10896
377,494,17977
493,151,28202
337,161,5229
55,500,28485
383,450,25947
43,263,31953
103,127,30933
305,143,10309
171,358,6554
37,489,3999
394,362,4877
112,148,14695
487,107,3501
20,307,5827
48,187,21438
386,213,9198
37,267,27873
248,7,6579
287,342,6803
239,195,17092
103,213,22725
36,407,24062
119,22,27913
225,290,4856
75,458,5139
184,81,28785
442,212,20597
240,439,17530
240,386,3808
84,143,27758
481,297,4949
287,6,3861
59,117,16390
165,277,7560
45,234,4571
155,107,1964
236,264,30673
426,382,22370
397,485,16823
378,369,29112
225,231,6121
77,376,8136
182,305,4387
335,81,18689
312,252,23680
170,98,1806
373,190,25908
73,148,32667
28,171,8891
32,456,19112
300,454,17247
189,15,11300
7,312,22629
326,145,7690
432,334,29257
200,275,9276
317,87,209
131,376,13761
181,56,7636
377,489,16195
151,170,31503
233,136,28882
379,205,19046
127,494,15705
245,369,30035
211,397,15442
488,150,9083
49,79,3731
1,209,14753
5,197,3398
110,444,29037
274,47,30329
445,469,16317
441,241,3261
431,217,17025
43,101,18376
95,346,12369
187,216,21034
458,377,4917
396,152,13413
399,132,17759
385,445,18438
308,344,457
398,284,28063
153,30,13290
155,255,5798
499,222,22795
378,47,4265
428,26,2783
25,110,12633
97,241,32359
154,96,6998
359,280,13129
239,116,25029
357,232,3885
242,464,25878
130,5,32181
353,181,28035
350,92,14628
491,75,22576
339,334,26850
436,351,12792
133,208,6735
247,324,26433
26,170,3500
319,122,21109
45,192,13311
412,183,31476
286,449,23610
98,151,21650
168,70,15641
206,137,21507
350,54,5734
275,414,18119
243,132,24488
382,29,7533
54,408,13164
269,81,19787
232,440,11685
84,127,11000
494,367,6358
454,167,12592
423,449,22789
432,186,8170
476,43,21671
336,229,19903
112,294,31491
245,155,31235
456,346,17606
304,267,30737
8,313,30383
258,259,15549
345,402,22444
283,462,15598
59,237,17079
197,432,14534
405,458,21072
125,213,4329
84,3,9844
485,3,11197
462,266,18258
70,404,20156
65,350,13880
107,404,13356
160,476,11111
193,197,8160
85,42,6869
452,51,21958
150,201,13060
15,350,11120
440,459,28784
133,457,2530
141,71,25933
494,90,10047
242,469,18567
402,187,6198
345,308,4160
127,132,10039
343,366,6976
463,391,13271
5,79,2589
301,485,18164
385,43,13300
1,31,6256
38,394,27671
250,296,2465
250,52,25852
81,455,9154
134,57,12865
365,443,3089
157,491,3770
407,241,10075
199,217,27826
449,323,25888
487,321,17897
384,104,28314
154,467,28154
158,88,20555
7,206,9512
56,116,13538
309,382,8905
186,299,32398
6,311,5572
282,299,2077
274,394,32477
281,353,10622
491,302,7110
125,65,21364
471,103,11052
428,329,17574
254,450,28988
441,189,3660
142,493,24914
138,327,26917
62,119,31947
162,64,19331
401,274,8252
413,94,22408
308,159,28533
231,134,9451
41,58,9749
1,328,11236
295,474,5543
385,82,16135
197,241,23409
450,264,8247
470,112,10117
73,45,24836
432,230,7095
171,277,30976
496,468,9337
475,498,23802
327,334,1748
212,208,30748
246,248,1529
10,301,17507
144,227,18461
171,122,29156
260,282,21912
225,222,9435
55,475,32387
391,64,24707
249,33,29263
135,111,18713
239,404,12798
101,447,4508
5,17,4364
321,230,14893
311,417,562
24,212,18971
69,127,17531
230,24,31995
498,117,31334
355,419,31835
346,378,6164
460,445,18423
120,423,13991
197,199,27769
320,373,2660
389,351,11554
210,34,17975
333,414,24311
428,473,29344
285,473,29764
196,498,30523
130,473,11667
284,118,7526
471,497,8554
281,223,30629
80,226,24169
227,191,11477
157,61,25507
187,348,30558
112,464,6471
273,431,2000
20,344,26614
284,31,14263
265,227,5968
232,389,25743
355,171,19622
72,452,13330
476,246,26836
371,281,14950
111,105,12457
456,455,20428
169,358,11629
83,301,9944
3,486,7012
291,98,13676
222,339,6749
351,14,4574
497,35,14508
444,479,21265
428,312,27431
300,75,7540
161,16,9465
31,153,8216
420,462,6251
141,257,11365
73,9,17900
291,473,6157
448,457,28934
187,412,3159
246,259,27395
191,435,5844
291,167,29034
237,180,3865
253,493,12955
273,391,536
461,177,30010
451,260,7979
275,1,28454
184,186,27635
299,176,7977
256,200,7054
389,173,2220
413,160,6877
46,283,4883
93,449,1741
23,366,5767
463,283,8921
197,246,24156
343,1,21835
313,228,11610
205,264,31710
104,478,10888
227,271,26318
416,143,7506
449,404,16771
203,426,5659
180,489,30540
173,112,7328
60,294,2030
204,498,20403
289,4,4852
111,227,6709
249,92,29182
304,351,20323
58,108,22912
205,216,13504
281,99,29878
315,267,19025
184,96,7353
355,335,4581
342,180,29677
202,221,15506
304,291,9802
261,181,4542
407,151,9267
310,459,9540
120,237,12489
288,248,6806
84,245,24069
434,254,20717
310,292,24578
164,415,30948
307,153,20020
230,82,19987
178,430,17542
122,338,3973
458,499,12179
237,126,26652
430,234,13940
343,399,21566
282,174,31199
370,231,17511
104,205,4998
473,77,21616
307,194,12787
435,277,32170
119,104,11358
233,324,15901
197,336,18219
206,398,22926
345,471,27921
36,294,10523
368,405,10776
34,450,29832
329,148,3316
138,433,7318
291,413,2149
344,114,32761
492,148,20901
201,228,3275
262,165,23049
421,47,28297
310,366,12637
398,235,19714
408,279,11181
196,218,10944
239,362,24692
486,322,12748
262,401,21088
423,367,13285
226,132,5685
334,117,24446
233,396,29816
156,462,15643
20,86,5347
151,229,237
439,30,5067
340,17,10936
344,274,16650
104,18,25194
417,382,1294
74,129,2536
466,363,21515
24,465,11520
80,86,141
245,439,24194
117,226,30178
417,83,15852
497,297,14348
254,403,25386
426,416,19001
230,479,22109
69,475,7676
251,51,6055
330,31,15538
45,412,8044
213,338,18913
419,215,14726
352,485,6256
48,318,15966
224,59,9730
106,298,751
68,348,14054
151,134,29976
467,344,21074
96,428,19398
46,163,20964
298,268,2786
143,139,26782
84,418,26885
89,19,17630
107,44,31071
417,384,3576
79,218,26200
429,394,18814
159,208,6604
423,127,32099
233,344,30202
223,201,31597
442,177,20088
464,452,30655
239,412,13006
258,72,12125
212,336,25731
200,286,17654
458,305,4288
399,278,26970
310,22,10714
237,125,12902
108,257,5982
148,122,32337
413,54,29554
406,136,14994
233,118,17073
32,104,11488
245,403,4036
346,467,16900
20,61,9825
345,324,14688
129,85,24968
116,242,5509
405,142,12040
19,32,22832
173,344,7861
21,18,5504
441,347,7638
240,127,31044
345,351,28599
305,415,15026
300,400,6757
404,272,11244
236,110,27378
213,162,24598
451,115,30430
442,360,18921
279,443,10359
352,463,32271
183,124,588
244,465,4781
155,298,27141
42,233,17110
262,492,1343
12,17,15726
430,294,29977
350,391,2530
72,395,27881
124,249,17262
218,48,8313
458,206,14953
455,397,13133
209,229,26809
243,249,25543
15,380,30695
330,461,7759
453,23,31942
334,60,25829
22,404,14129
357,59,25730
203,85,2459
50,25,25554
258,356,12121
401,223,28469
489,344,18934
214,345,21506
477,371,31989
377,20,12664
312,163,19645
500,77,12281
168,279,8369
414,133,24399
50,256,29091
111,498,25390
465,332,9495
158,291,309
474,431,11035
105,305,26141
161,346,30621
436,400,8148
292,47,12673
414,291,26797
149,264,16623
269,338,1026
221,478,4998
364,328,9925
152,298,18558
211,319,18174
421,21,20444
367,143,17193
310,200,12104
45,92,12010
140,179,25635
95,117,17561
180,484,3561
238,176,5003
359,221,32018
228,198,4396
61,465,16866
320,419,18240
71,194,13289
418,427,1001
176,164,30248
255,266,16448
250,237,1301
126,22,30887
165,100,13040
186,161,32280
456,256,27684
275,15,27173
136,1,184
184,331,26467
217,238,20716
264,376,32364
376,325,27289
195,389,7115
269,391,12791
373,99,7525
357,49,27595
273,162,30271
252,14,14384
245,263,28085
53,390,5240
108,205,15221
479,332,8147
327,3,21472
332,176,29125
168,263,12451
309,76,8849
496,228,20381
389,262,1310
446,455,5752
478,39,20227
401,78,21366
407,472,22209
234,152,17505
50,401,31057
20,110,29348
112,369,28557
208,155,24569
9,227,12578
232,464,297
109,436,17931
168,441,27856
86,66,26822
476,110,558
279,8,27325
144,425,12384
173,13,14753
71,203,158
489,471,32677
407,365,9804
498,335,29146
390,417,11778
170,252,18201
127,149,218
155,44,22340
435,304,25503
372,296,21957
225,489,29107
224,28,19340
199,437,25037
201,10,13312
356,29,14041
393,424,15779
493,401,27033
315,76,15730
216,8,29804
230,307,498
230,477,199
139,184,12932
272,188,25609
428,256,5583
256,299,21066
278,74,12217
390,249,15332
43,471,12883
326,235,31263
304,477,26675
225,65,11023
226,15,4244
124,492,10235
490,367,31504
351,66,995
196,404,29652
179,317,26627
42,209,4761
301,418,610
489,57,3532
84,278,7883
317,280,8361
24,184,31950
449,155,11831
307,242,5518
258,169,25696
49,488,23177
38,298,2466
142,35,4777
140,32,9481
22,184,27951
420,405,9074
125,169,14941
110,289,20040
125,396,2033
110,383,10037
171,279,13253
256,415,22919
168,480,28980
51,271,15661
340,123,19989
225,269,12449
439,156,2666
16,52,9754
405,431,8725
296,474,30160
446,293,18991
160,26,10823
493,155,27612
52,368,23763
374,58,25767
374,395,10199
98,449,6351
472,495,356
350,160,15894
62,130,19536
200,295,17884
494,186,26329
165,478,960
295,176,17767
316,329,10739
102,491,3352
119,496,1794
276,376,29965
116,99,10437
417,416,18111
468,350,14000
76,477,29882
449,204,2496
443,78,15507
48,484,21169
175,310,29689
445,59,3914
250,313,18985
196,400,13785
438,89,15924
463,489,27196
368,147,8148
216,15,20998
14,367,29633
292,79,17825
143,336,21966
249,180,14974
48,440,16940
443,406,26288
308,439,23720
454,358,22663
379,490,10182
91,308,7430
29,423,30454
150,124,9798
383,243,3693
360,369,32551
130,404,10295
496,90,3036
333,151,18845
228,147,12086
242,404,17666
353,274,15038
443,390,17334
143,422,9204
189,241,4214
177,197,9044
22,426,26255
281,395,12790
1,348,4835
345,131,24789
305,220,2876
478,238,20778
94,371,5556
241,424,14177
120,485,32027
211,453,23180
459,98,28831
415,432,96
262,171,23588
395,215,14884
179,439,5136
458,140,8473
254,281,27249
421,38,20802
299,343,31953
134,498,26517
101,407,4364
293,405,1277
500,325,31998
395,8,27062
247,105,10232
476,197,13545
155,78,1576
437,8,17042
341,92,26829
155,427,15184
275,227,14643
465,392,30869
227,355,17988
357,263,5063
473,375,20926
418,171,21400
192,79,31102
42,370,14229
440,197,16408
404,392,20271
29,451,18450
75,268,29818
408,462,13774
328,308,20362
403,484,13639
276,326,3459
357,315,30763
293,397,685
227,230,30208
370,203,4395
326,231,6984
273,485,13868
59,352,13804
229,31,7599
118,85,7252
435,295,8488
190,49,6638
492,425,12209
369,282,26400
241,6,24202
243,13,11210
306,133,22288
359,358,4845
471,438,4989
17,472,6929
147,248,28166
157,412,25209
47,323,32305
349,342,32590
164,403,11906
93,444,21318
2,469,26829
243,115,1905
240,337,16839
400,195,18477
431,178,15540
73,219,17019
240,228,9797
305,466,6947
39,136,12796
183,121,28010
329,34,1974
191,351,8778
90,343,22315
452,256,29287
251,53,25980
82,395,29755
240,335,27955
61,127,1325
400,248,9018
122,93,30609
426,221,21424
75,141,2236
485,363,24497
209,58,2488
86,163,352
348,35,10815
485,96,11740
371,262,18679
313,54,17634
19,326,23865
32,215,3149
42,474,19900
12,236,18867
316,336,9462
354,291,14025
95,255,24358
497,101,7525
482,27,22321
192,215,11811
438,374,28376
75,417,12577
496,31,17409
362,281,4693
22,120,26620
55,416,4958
213,138,28425
167,276,10980
322,104,7572
240,422,24034
32,329,17887
461,479,14708
102,251,25608
26,377,5113
302,162,32700
197,448,29354
233,303,8685
283,423,27893
489,49,4708
181,375,14657
109,332,25618
255,355,18149
33,307,26712
102,136,30575
88,195,16592
421,304,15769
406,77,17466
193,487,12922
170,456,5778
485,112,8661
406,81,32128
189,157,13461
455,62,29089
211,42,19667
91,31,604
411,90,26880
447,69,9525
356,251,3071
371,113,19178
173,153,18014
239,319,25529
184,117,8429
298,267,10650
232,172,25432
125,274,25181
264,74,4510
48,205,9440
316,265,4467
147,93,21473
250,498,17652
252,350,17946
340,348,6703
61,474,18080
210,26,10097
457,243,2498
42,275,31328
265,379,12763
470,333,21559
283,207,23764
485,170,14288
384,256,15942
151,412,32316
120,8,21376
425,471,11540
285,8,5592
282,430,5580
436,222,1299
11,74,26541
176,65,18126
14,364,26180
454,282,14626
105,216,29795
235,442,1536
232,214,10253
404,458,20985
451,341,13790
432,56,23656
197,450,17110
169,120,8258
395,306,8582
100,453,3055
390,217,15380
297,105,3065
359,209,32411
498,143,14202
381,67,3518
477,71,16015
393,88,919
80,251,6708
42,371,24901
496,85,14940
54,323,28099
421,17,23069
121,240,27346
489,110,2890
310,385,28439
330,283,16851
30,158,24771
79,71,31934
382,4,3671
43,422,28063
113,8,19303
202,208,31577
367,185,30324
274,295,5784
488,170,22214
457,419,859
133,114,10163
173,481,27347
164,376,7739
270,359,19535
236,279,19465
362,324,7331
203,60,21047
407,352,10308
464,313,9973
164,269,715
477,478,11450
103,333,2538
497,306,6593
421,310,15087
367,137,9476
350,443,8549
12,14,10745
72,167,30877
211,381,14050
439,348,6529
214,459,4647
117,32,27111
379,150,32608
82,244,5731
359,288,25104
170,283,9466
305,493,27632
87,141,11962
145,279,21502
323,27,13728
446,408,28229
98,226,4847
371,73,11486
115,73,7710
39,32,8036
340,434,949
119,445,9884
252,275,3214
265,193,15828
285,3,25458
473,245,7292
40,482,15027
219,207,22201
421,482,31284
322,500,402
146,476,5783
491,415,15202
86,119,400
87,352,26987
40,316,19609
335,217,8588
291,351,3704
346,87,9099
401,9,12626
189,434,1917
349,200,21064
4,342,28451
287,367,7367
402,448,9825
216,341,23319
160,144,17170
21,399,8912
459,322,3816
232,329,24380
188,242,26143
488,351,21704
442,153,19488
176,457,24605
60,246,21364
434,489,30838
296,74,10383
10,145,12351
462,366,10076
170,487,24634
280,145,29076
208,215,10378
181,286,4160
470,208,20602
55,150,21759
109,154,6364
492,29,32735
430,377,7759
224,346,13549
491,337,16337
251,468,6348
434,194,29547
257,385,3561
51,213,21969
428,20,5165
49,306,25421
451,170,19264
62,372,30554
62,482,7090
39,417,15784
483,222,9636
416,491,31374
83,172,21458
296,17,18959
414,65,26628
218,420,31742
379,310,4685
210,151,22757
403,122,13994
8,487,11960
500,324,31965
270,234,21892
150,289,13461
115,414,15247
367,438,3134
370,201,17836
252,178,8984
212,80,15274
247,322,12129
194,61,25134
416,267,22451
45,304,6736
469,281,2796
432,498,13528
397,151,9265
420,38,27121
325,401,4340
384,231,26530
385,78,3330
353,490,30839
447,157,27901
80,407,12569
464,188,27098
239,454,11982
76,414,49
499,498,2572
10,17,19593
62,201,1968
291,369,27104
496,159,6261
101,168,18973
384,489,10678
182,70,22584
470,475,31658
375,315,565
399,193,28827
113,335,7493
186,46,26052
26,315,167
141,264,29138
173,151,17450
373,253,11854
253,269,21846
337,140,18507
289,397,8865
467,280,18993
251,448,32332
349,223,13185
474,488,8880
120,1,21726
186,235,30
176,203,21959
272,342,16557
257,377,5821
54,266,18561
90,256,7635
253,293,31091
253,134,13526
390,497,14119
113,2,10123
460,472,9445
484,405,30141
126,205,26847
129,252,8206
241,321,30883
295,141,18371
137,14,8428
283,186,30982
367,245,12043
302,168,29786
273,144,27812
499,410,30508
350,441,3699
203,88,11463
250,377,23884
488,62,26651
251,309,19620
389,305,23566
452,79,29747
160,189,2905
256,450,2713
12,425,27162
472,323,7437
391,7,31394
477,364,25720
458,168,23595
196,469,21137
47,108,7543
492,100,20944
141,250,32389
158,377,18773
242,17,29670
499,286,21012
445,186,854
41,189,15592
88,86,17563
204,35,8536
465,185,17127
262,420,15153
459,323,31271
24,289,29002
378,286,2310
218,71,2567
235,470,15247
29,387,25202
116,79,7090
63,470,784
353,236,3096
74,163,14765
124,96,26376
460,118,478
488,66,32336
347,30,3559
478,259,31341
41,332,16454
326,262,18016
413,403,27160
418,452,17148
92,201,15619
473,94,14224
64,408,19922
82,254,21768
188,57,12925
3,272,13135
446,197,15326
199,168,18736
170,455,31372
308,432,2671
41,360,22934
107,481,11679
444,159,21555
415,197,670
457,189,18793
437,71,3230
134,227,19196
301,259,10117
241,204,30525
250,220,13199
396,61,1427
2,462,13157
181,414,15314
286,188,18491
244,357,5823
276,58,21636
162,396,6742
387,60,6496
318,314,3744
161,184,11224
51,383,29768
329,283,6649
474,243,4893
418,432,21994
369,447,14330
364,131,6903
2,208,10554
428,61,18866
284,140,28314
157,254,29852
434,44,13884
157,388,10092
237,145,32434
216,71,4316
322,366,6178
284,171,10253
340,178,31338
222,364,10130
52,120,3151
68,191,1986
140,44,7193
295,101,20207
387,152,1068
411,118,27005
450,432,22142
359,141,5412
105,403,32766
216,486,4539
63,45,12605
429,133,3922
94,92,3076
14,247,1175
417,472,11671
347,84,2481
381,244,15316
230,478,21267
64,415,12142
435,131,17663
12,70,16374
424,83,9125
352,181,9847
158,435,27947
237,456,29121
425,88,16896
157,396,29632
231,203,13633
392,432,29046
76,318,16932
216,281,18277
271,87,17560
142,4,12954
375,415,680
117,227,29326
267,378,24891
125,259,4760
395,238,6726
61,383,27052
41,54,916
194,138,21910
187,360,31910
125,446,29428
487,30,16222
438,234,9622
45,471,25199
370,276,15642
245,231,11724
121,379,28625
106,267,16523
158,263,23122
262,387,17653
474,32,15440
307,374,23226
120,259,23427
173,319,18562
383,272,23499
412,445,15705
171,165,1997
40,7,16283
441,367,7737
267,210,14296
351,182,20943
263,211,12178
303,428,28870
407,335,26203
75,449,16939
267,121,13667
340,484,15571
14,437,2019
279,253,14284
285,299,26504
62,371,21780
38,117,4108
45,255,1894
207,41,29478
319,99,14896
421,211,3408
343,486,3875
416,397,286
279,486,26324
429,74,29205
360,461,4702
468,443,22846
172,428,10773
385,435,23799
426,143,10654
32,241,25254
250,147,11275
346,392,27735
281,441,721
496,20,11639
224,278,30890
123,176,26915
154,315,28105
320,67,29122
266,35,11491
44,149,21735
70,454,28923
12,148,12207
399,465,8699
169,340,10003
95,392,25205
352,340,23787
433,12,13098
193,472,17806
244,64,16672
291,495,19288
367,366,31095
149,232,1148
293,32,19000
398,111,13551
91,75,6610
432,478,14667
146,412,1800
444,255,6392
388,109,370
4,309,11524
297,486,20201
52,404,22125
125,242,11376
254,249,31183
193,287,31100
55,491,12202
295,428,21156
73,310,8134
205,400,15653
338,498,9050
240,233,5823
306,409,21981
155,258,23892
77,33,14163
33,161,16599
331,463,5956
431,230,11970
197,70,32623
129,368,6165
107,56,4197
438,462,27900
375,259,22574
130,204,8282
473,169,25441
454,146,31776
380,33,13371
351,412,20687
134,136,10333
126,421,13501
489,74,24883
29,63,22514
67,348,19505
315,495,30643
171,409,16241
367,254,18713
333,172,5201
182,420,21577
491,386,3359
418,149,16934
194,435,29691
288,98,7311
114,453,4217
159,435,1419
406,132,7842
9,197,1014
463,461,11619
495,73,17537
301,363,921
109,89,9261
165,323,12846
337,370,5508
113,16,7939
182,123,1085
491,315,26533
337,65,21265
50,202,19449
410,328,32231
489,427,12382
63,398,24227
364,359,1021
297,91,7485
462,457,17215
202,14,1002
310,50,14238
466,302,22143
39,234,19790
355,132,30798
213,282,11372
123,76,11831
317,137,1725
357,280,12963
227,217,3102
348,120,12183
398,121,1845
470,476,5933
333,184,4353
380,484,19729
400,347,25953
66,225,13270
374,186,31652
490,139,1848
287,374,28093
207,432,2221
473,449,15809
154,376,30166
241,263,31904
277,448,6306
476,180,1645
377,156,3917
403,419,18312
211,269,16000
430,406,7043
221,306,18994
113,442,25545
54,59,14252
341,261,32225
491,382,5024
459,397,25763
161,359,6918
419,31,6702
324,113,2096
459,289,30201
301,61,26414
201,315,23040
85,27,4020
399,213,30551
290,432,31804
67,188,10900
130,81,14763
293,333,19905
438,473,11540
60,40,8405
467,200,21889
134,403,27368
432,182,3518
63,89,1443
366,116,13971
73,355,4811
269,4,38
118,410,11309
147,24,22475
25,80,28484
166,435,24830
310,497,1449
55,396,23597
313,436,24051
321,88,21948
292,304,9282
228,285,18996
136,366,26154
309,3,4807
140,41,24894
487,1,20289
349,412,683
64,334,16076
1,90,17324
182,92,2828
451,120,8627
334,4,376
457,329,17049
384,150,9478
174,205,13380
18,17,30326
491,187,29811
294,199,23536
80,142,22710
285,229,16551
49,197,22460
216,242,27579
129,354,27775
150,354,14752
49,277,8435
38,80,26018
287,417,4418
430,237,31081
78,445,14783
425,430,22150
281,442,28950
74,109,12915
415,101,23901
12,464,22409
365,154,19992
14,214,7641
192,218,32332
371,406,25837
467,212,10547
191,275,29658
229,369,24886
396,64,5934
124,225,3117
443,454,11414
327,385,6432
65,10,6749
95,259,17141
160,211,1288
276,372,20692
72,218,32703
392,25,4139
74,268,1092
309,121,3470
144,285,17829
307,265,10480
190,108,31985
331,490,22246
275,234,12685
294,365,1007
287,458,18184
479,7,28669
37,353,22650
77,387,18348
7,151,11726
209,431,3563
141,84,29072
217,135,25611
426,222,19982
287,270,14183
482,44,20210
463,213,8995
268,415,24731
258,391,14775
8,150,6368
103,15,15684
173,215,11525
342,39,24282
63,435,9995
433,312,15429
185,451,8346
454,289,20724
463,277,5179
442,131,14866
78,216,17824
269,276,22265
348,391,26660
339,78,18038
235,369,5840
350,86,22173
336,367,29572
406,190,37
389,145,27413
345,298,18298
319,190,14976
370,378,11532
135,351,30085
176,210,899
331,232,2368
240,295,24028
36,91,5535
317,97,8360
233,21,3784
285,415,26836
251,499,29638
133,260,16329
355,348,6681
39,341,18382
92,14,9725
297,14,31968
11,338,21896
454,64,9612
102,396,22756
27,271,27754
230,125,7261
64,182,9795
89,39,14579
399,286,21014
25,209,18095
353,340,14184
313,21,6133
111,433,31920
184,91,1918
300,295,29370
291,314,2758
168,151,29519
108,437,14609
62,281,24719
350,195,31568
90,149,24509
163,121,13201
443,60,9571
401,459,27330
138,48,25126
141,294,2534
350,343,26270
275,354,24595
282,143,14852
334,80,18641
472,159,29348
404,388,16054
149,19,28745
217,138,5195
201,311,30754
294,131,414
276,178,28366
395,205,16156
102,44,22678
462,211,5749
137,492,12539
277,3,14526
54,319,25119
169,140,21784
161,499,31160
111,410,28019
110,224,31879
309,450,20309
368,78,14994
182,206,29860
296,483,5518
101,25,29927
4,329,6193
131,428,10620
149,500,22648
176,400,18353
230,455,14329
164,399,2501
345,311,31960
461,500,7226
104,272,17150
327,235,30466
62,101,14494
375,339,8809
282,441,18990
93,69,13772
179,302,8542
398,54,12929
61,41,30648
305,159,18289
126,451,2275
386,439,6750
41,181,14786
386,277,31178
114,342,8435
299,387,26353
58,82,21067
129,59,18780
23,429,29284
165,308,26105
60,378,30813
390,348,29106
177,396,29535
212,69,23554
86,429,30328
97,218,18425
302,53,18674
119,26,10915
500,293,29242
136,112,15324
158,392,32731
376,273,25331
349,248,18769
12,325,6818
286,207,18579
108,341,76
8,385,12197
264,173,28805
134,111,666
34,188,18243
321,188,31425
260,53,9300
222,353,8961
149,203,1254
403,358,18051
234,115,10571
171,495,16956
378,273,10808
204,317,24324
78,399,25393
340,270,23848
372,380,32745
253,228,7112
293,100,6323
123,224,5466
294,442,28250
243,194,6185
139,62,4095
234,69,31914
279,147,5584
357,95,29952
260,56,12708
218,183,14336
305,130,13046
75,3,3989
87,361,19881
311,157,1373
33,138,2968
335,170,22984
188,40,24300
313,304,28972
233,438,24477
238,12,16256
157,348,26812
434,497,18121
137,452,6726
409,243,17748
151,448,19128
371,385,2130
262,467,16293
316,398,19576
18,254,9961
291,247,31149
281,394,21087
187,55,10218
321,439,13854
213,158,2777
104,76,11685
232,199,28380
131,115,9863
362,339,11640
346,117,3951
297,37,14435
183,401,24725
420,70,24989
248,146,20219
119,300,11360
278,213,19984
354,3,1490
451,477,31621
430,333,5551
271,336,32633
433,11,28834
392,106,8773
474,342,11736
361,120,1379
451,269,7869
384,437,3003
415,336,2913
302,129,27912
136,329,12720
56,386,890
477,69,12608
341,383,11000
37,338,26583
278,226,31272
275,84,650
340,68,18953
322,149,4291
476,354,1853
425,468,15764
141,490,5223
240,72,18719
134,48,10010
55,195,16125
242,129,4431
31,384,2018
468,136,11064
211,207,24554
473,323,32725
306,392,14927
90,20,14287
6,477,9284
250,20,25369
487,154,15998
62,110,2724
301,237,14994
131,410,27241
65,291,13707
129,66,25912
62,464,20547
132,172,14289
218,456,8182
340,141,4068
85,77,16213
91,146,2490
466,434,27315
24,140,31252
43,114,29118
386,64,3576
451,432,9641
70,94,1788
76,61,29110
4,278,23272
266,158,17761
455,253,13264
479,468,16033
413,329,18924
101,435,26608
484,152,25309
367,435,12576
15,345,31267
80,176,23333
190,305,17639
288,19,11867
451,397,30573
30,72,20468
3,55,31941
191,396,13965
72,232,16798
259,170,26401
313,435,22843
56,490,6863
214,315,12288
428,288,815
163,411,18666
153,385,1556
419,394,3618
454,67,23784
163,230,12906
377,487,1150
148,447,23775
316,380,2813
184,362,761
458,363,4585
261,34,11038
389,67,19621
90,112,6839
461,181,30015
83,270,1996
1,300,19688
35,405,10897
497,423,2783
384,378,25972
